epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,174.625,1.29016,2.44073,0.96942,0.73854,0.50705,0.5872,0.40966,1.10222,1.64174,0.93062,0.000236678,0.000236678,0.000236678
2,404.218,1.09762,1.06868,0.92272,0.83333,0.32473,0.36305,0.25265,1.05394,0.8531,0.93398,0.000380692,0.000380692,0.000380692
3,684.074,1.06261,0.87298,0.91898,0.8735,0.28456,0.32639,0.23156,1.05934,0.75409,0.93191,0.000430457,0.000430457,0.000430457
4,950.982,1.04865,0.7795,0.91385,0.85809,0.3225,0.35865,0.25942,1.02153,0.649,0.92139,0.000289884,0.000289884,0.000289884
5,1255.62,1.02634,0.72875,0.91043,0.87738,0.21114,0.24901,0.18189,1.00266,0.61542,0.91807,0.000148512,0.000148512,0.000148512
