epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.2503,1.76925,4.5027,1.19124,0.00396,0.06805,0.00891,0.0046,1.25546,4.30612,0.95077,0.000234033,0.000234033,0.000234033
2,22.2981,1.4973,3.50421,1.00474,0.87757,0.07941,0.15511,0.09072,1.40332,3.35986,0.98107,0.000425302,0.000425302,0.000425302
3,33.3476,1.40729,2.92136,1.00184,0.20053,0.51593,0.19035,0.11651,1.39594,3.11437,1.02865,0.000569447,0.000569447,0.000569447
4,44.4937,1.36059,2.67834,0.96893,0.24281,0.38862,0.22984,0.14914,1.26453,2.51434,0.99059,0.000501942,0.000501942,0.000501942
