epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,290.811,1.06926,0.91604,0.91949,0.93454,0.87695,0.95673,0.65602,1.10161,0.7071,0.95053,0.000299982,0.000299982,0.000299982
43,297.558,1.05418,0.84907,0.92768,0.95019,0.87872,0.95648,0.66003,1.07995,0.68604,0.94972,0.000289884,0.000289884,0.000289884
44,304.351,1.04887,0.87389,0.90905,0.94804,0.878,0.95725,0.64885,1.10352,0.68808,0.95686,0.000279786,0.000279786,0.000279786
45,311.158,1.06533,0.86241,0.91953,0.951,0.88713,0.9604,0.64941,1.12881,0.68469,0.9586,0.000269688,0.000269688,0.000269688
46,317.917,1.07102,0.83337,0.92455,0.9398,0.90193,0.9608,0.65271,1.12582,0.68069,0.9582,0.00025959,0.00025959,0.00025959
47,324.752,1.04016,0.82042,0.91949,0.94811,0.90155,0.96067,0.66741,1.06902,0.67023,0.94417,0.000249492,0.000249492,0.000249492
48,331.555,1.04064,0.83506,0.91878,0.94014,0.90117,0.96332,0.65553,1.102,0.67311,0.95261,0.000239394,0.000239394,0.000239394
49,338.314,1.04588,0.8461,0.91716,0.94192,0.90735,0.9635,0.64385,1.17845,0.67428,0.9735,0.000229296,0.000229296,0.000229296
50,345.12,1.04231,0.83083,0.90343,0.94485,0.91211,0.96519,0.66191,1.1282,0.65763,0.96025,0.000219198,0.000219198,0.000219198
51,351.831,1.06109,0.82072,0.93062,0.94094,0.91399,0.96495,0.67681,1.06291,0.65022,0.9422,0.0002091,0.0002091,0.0002091
52,358.612,1.0818,0.83171,0.91138,0.93379,0.92631,0.9645,0.66376,1.08734,0.6512,0.95031,0.000199002,0.000199002,0.000199002
53,365.427,1.07284,0.80251,0.92762,0.93742,0.9226,0.96505,0.65187,1.15618,0.65168,0.96989,0.000188904,0.000188904,0.000188904
54,372.215,1.05091,0.80423,0.92484,0.92595,0.93318,0.96516,0.64804,1.15939,0.65237,0.96996,0.000178806,0.000178806,0.000178806
55,379.031,1.03524,0.79107,0.89852,0.95148,0.91532,0.96529,0.66119,1.10475,0.63859,0.95318,0.000168708,0.000168708,0.000168708
56,385.9,1.02784,0.79768,0.92182,0.95606,0.90864,0.96603,0.66563,1.08404,0.62784,0.9469,0.00015861,0.00015861,0.00015861
57,392.726,1.07901,0.81151,0.90838,0.9325,0.93707,0.96691,0.65904,1.11261,0.63776,0.95513,0.000148512,0.000148512,0.000148512
58,399.504,1.06824,0.7872,0.91372,0.9352,0.93018,0.9656,0.65131,1.1286,0.6327,0.96037,0.000138414,0.000138414,0.000138414
