epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,240.861,1.29012,2.44016,0.96946,0.70981,0.39654,0.44849,0.3138,1.1004,1.6055,0.93055,0.000236678,0.000236678,0.000236678
2,582.928,1.10228,1.05928,0.92496,0.81101,0.2504,0.28176,0.19974,1.04747,0.84892,0.93258,0.000465279,0.000465279,0.000465279
3,965.908,1.06913,0.86105,0.92197,0.81636,0.15892,0.19024,0.13633,1.06717,0.75167,0.93868,0.000684456,0.000684456,0.000684456
