epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.241,1.95439,4.71684,1.26054,0,0,0,0,1.43148,4.68462,1.06135,4.998e-05,4.998e-05,4.998e-05
2,66.0225,1.48068,4.24357,1.01483,0.00034,0.00861,0.00027,6e-05,1.35107,4.47723,0.96614,0.00010604,0.00010604,0.00010604
3,94.6865,1.37945,3.64849,0.96357,0.02051,0.33235,0.07623,0.04558,1.18919,4.26837,0.91364,0.000160968,0.000160968,0.000160968
4,121.78,1.31923,3.20919,0.9167,0.02813,0.68759,0.14479,0.07928,1.16313,4.03371,0.88583,0.000214766,0.000214766,0.000214766
5,150.827,1.32796,2.77547,0.95363,0.03303,0.86624,0.20302,0.11477,1.14438,3.75788,0.89164,0.000267433,0.000267433,0.000267433
6,179.234,1.27913,2.47026,0.93555,0.03722,0.94414,0.27137,0.15693,1.29433,3.45197,0.93358,0.000318969,0.000318969,0.000318969
7,205.721,1.31182,2.23315,0.93138,0.0401,0.97617,0.29565,0.18453,1.20307,3.29972,0.92335,0.000369374,0.000369374,0.000369374
8,233.319,1.25513,2.0494,0.92577,0.04111,0.98782,0.34923,0.21792,1.23643,3.10029,0.94265,0.000418647,0.000418647,0.000418647
9,260.365,1.30907,1.91698,0.96094,0.3459,0.44409,0.40729,0.25335,1.22683,3.0278,0.95875,0.00046679,0.00046679,0.00046679
10,287.108,1.24363,1.8073,0.92854,0.0438,0.98782,0.44121,0.2828,1.14736,3.03686,0.94585,0.000513802,0.000513802,0.000513802
11,314.13,1.19348,1.65577,0.93427,0.86138,0.18296,0.51052,0.31835,1.24168,2.63949,0.98744,0.000559683,0.000559683,0.000559683
12,340.403,1.22095,1.59033,0.94152,0.66486,0.197,0.53909,0.35404,1.14615,2.54917,0.96238,0.000604433,0.000604433,0.000604433
13,367.098,1.18553,1.54213,0.93015,0.63178,0.24575,0.55145,0.35893,1.18354,2.48953,0.97438,0.000629177,0.000629177,0.000629177
14,395.843,1.21219,1.49795,0.94114,0.63741,0.35054,0.60151,0.40272,1.12854,2.20143,0.96968,0.000622108,0.000622108,0.000622108
15,424.348,1.1394,1.40342,0.93807,0.67623,0.41329,0.68019,0.45174,1.13598,2.16063,0.96524,0.00061504,0.00061504,0.00061504
16,452.795,1.14584,1.38029,0.92836,0.73319,0.61015,0.75797,0.50561,1.12156,1.847,0.96278,0.000607971,0.000607971,0.000607971
17,481.422,1.15061,1.33628,0.94961,0.74905,0.61336,0.73967,0.50075,1.10198,1.94967,0.95983,0.000600902,0.000600902,0.000600902
18,508.884,1.15055,1.33968,0.92532,0.74707,0.75965,0.78459,0.53208,1.11393,1.51132,0.95609,0.000593834,0.000593834,0.000593834
19,534.889,1.12999,1.20469,0.9266,0.77095,0.75932,0.83791,0.56906,1.11029,1.23433,0.94869,0.000586765,0.000586765,0.000586765
20,562.154,1.12009,1.20722,0.92628,0.75478,0.81784,0.8357,0.562,1.14112,1.4006,0.95645,0.000579697,0.000579697,0.000579697
21,587.774,1.15285,1.19148,0.94508,0.82766,0.79682,0.86654,0.59032,1.11007,1.36987,0.95046,0.000572628,0.000572628,0.000572628
22,614.852,1.1035,1.1519,0.92257,0.85276,0.82382,0.87846,0.59125,1.14241,1.14967,0.96263,0.000565559,0.000565559,0.000565559
23,642.832,1.10435,1.1304,0.93495,0.86335,0.79932,0.88475,0.5969,1.12641,1.14166,0.95741,0.000558491,0.000558491,0.000558491
24,668.717,1.13479,1.06519,0.93359,0.85475,0.79861,0.90262,0.61009,1.0981,1.21511,0.94746,0.000551422,0.000551422,0.000551422
25,695.104,1.12423,1.05668,0.93128,0.92692,0.82132,0.91966,0.62183,1.12869,1.14609,0.95451,0.000544354,0.000544354,0.000544354
26,722.571,1.07143,1.01609,0.91987,0.92156,0.84241,0.93786,0.64329,1.0812,1.05991,0.9443,0.000537285,0.000537285,0.000537285
27,751.95,1.09379,0.97821,0.94462,0.91871,0.87008,0.93768,0.64744,1.10125,1.1198,0.94647,0.000530216,0.000530216,0.000530216
28,779.615,1.09336,0.95099,0.92689,0.93055,0.86618,0.94175,0.62893,1.12323,1.06769,0.95546,0.000523148,0.000523148,0.000523148
29,807.036,1.10415,0.94948,0.9154,0.90518,0.87668,0.94457,0.64968,1.07862,0.96853,0.94198,0.000516079,0.000516079,0.000516079
30,833.789,1.13602,0.9615,0.93481,0.92836,0.89165,0.94377,0.64537,1.09411,1.01697,0.94747,0.000509011,0.000509011,0.000509011
31,859.293,1.10418,0.93596,0.94885,0.91751,0.88226,0.93885,0.62907,1.14205,0.98394,0.96632,0.000501942,0.000501942,0.000501942
32,885.215,1.06795,0.91935,0.92564,0.93424,0.8497,0.94121,0.64612,1.0873,0.88962,0.9485,0.000494873,0.000494873,0.000494873
33,910.912,1.07467,0.91897,0.93206,0.92259,0.90454,0.94622,0.65144,1.08366,0.80695,0.95062,0.000487805,0.000487805,0.000487805
34,938.134,1.06796,0.88224,0.91061,0.91486,0.91341,0.94451,0.64612,1.08857,0.81644,0.9492,0.000480736,0.000480736,0.000480736
35,967.41,1.08965,0.88386,0.92534,0.95859,0.89605,0.94708,0.64994,1.07576,0.80669,0.94893,0.000473668,0.000473668,0.000473668
36,996.216,1.08268,0.86912,0.91914,0.95313,0.90499,0.95153,0.64131,1.11743,0.79534,0.95822,0.000466599,0.000466599,0.000466599
37,1023.91,1.09478,0.86535,0.92103,0.94237,0.90834,0.949,0.64917,1.08429,0.78645,0.94818,0.00045953,0.00045953,0.00045953
38,1049.85,1.02634,0.82214,0.91157,0.93665,0.93,0.95118,0.66341,1.06722,0.78789,0.94218,0.000452462,0.000452462,0.000452462
39,1076.21,1.03199,0.7961,0.91016,0.93545,0.9092,0.95288,0.65309,1.09271,0.85045,0.9517,0.000445393,0.000445393,0.000445393
40,1102.35,1.03218,0.80738,0.92143,0.93022,0.91036,0.95476,0.64882,1.1113,0.81175,0.96068,0.000438325,0.000438325,0.000438325
41,1128.97,1.04028,0.79763,0.90656,0.94153,0.90153,0.95104,0.66468,1.06507,0.79108,0.9476,0.000431256,0.000431256,0.000431256
42,1156.13,1.06319,0.80193,0.92475,0.94102,0.90725,0.94976,0.63808,1.13836,0.8493,0.97664,0.000424187,0.000424187,0.000424187
43,1184.81,1.05683,0.79434,0.91681,0.93822,0.91292,0.9537,0.64612,1.13214,0.83452,0.96407,0.000417119,0.000417119,0.000417119
44,1213.74,1.0238,0.77903,0.90378,0.9376,0.94172,0.95668,0.64848,1.10976,0.76235,0.95746,0.00041005,0.00041005,0.00041005
45,1241.79,1.02855,0.79917,0.90634,0.94027,0.92713,0.95871,0.65092,1.10829,0.76728,0.95759,0.000402982,0.000402982,0.000402982
46,1269.27,1.0126,0.80857,0.90206,0.95292,0.9201,0.95764,0.65657,1.10245,0.74586,0.95743,0.000395913,0.000395913,0.000395913
47,1295.55,1.05493,0.77812,0.92142,0.93616,0.91583,0.95522,0.64697,1.10849,0.75761,0.96068,0.000388844,0.000388844,0.000388844
48,1322.03,1.0218,0.75885,0.89752,0.92198,0.93085,0.95589,0.62668,1.17118,0.75921,0.97595,0.000381776,0.000381776,0.000381776
49,1350.7,1.01922,0.75427,0.90839,0.95286,0.92265,0.95719,0.64967,1.1315,0.7409,0.96528,0.000374707,0.000374707,0.000374707
50,1378.25,1.02915,0.75918,0.9198,0.94174,0.92614,0.95675,0.65591,1.09919,0.73725,0.95775,0.000367639,0.000367639,0.000367639
51,1406.2,1.01259,0.74189,0.91149,0.93417,0.92314,0.96013,0.65105,1.12487,0.73427,0.96575,0.00036057,0.00036057,0.00036057
52,1434.38,1.00174,0.74444,0.90677,0.94315,0.92239,0.96267,0.65777,1.10866,0.73024,0.96154,0.000353501,0.000353501,0.000353501
53,1465.09,0.98177,0.74996,0.90198,0.93874,0.9373,0.96545,0.6571,1.11178,0.72287,0.96255,0.000346433,0.000346433,0.000346433
54,1493.43,0.96885,0.70581,0.89956,0.95464,0.93868,0.96482,0.65719,1.10506,0.71959,0.96194,0.000339364,0.000339364,0.000339364
55,1527.66,1.01985,0.74211,0.90476,0.94005,0.93277,0.96644,0.66753,1.0853,0.71017,0.95163,0.000332296,0.000332296,0.000332296
56,1560.56,1.00345,0.68431,0.9103,0.95481,0.91738,0.96804,0.65832,1.11764,0.7009,0.95988,0.000325227,0.000325227,0.000325227
57,1596.45,0.98938,0.7371,0.90369,0.93731,0.93281,0.96933,0.67168,1.08424,0.71646,0.94993,0.000318158,0.000318158,0.000318158
58,1627.47,1.02964,0.72519,0.92511,0.95498,0.91696,0.97046,0.67678,1.07636,0.73934,0.94722,0.00031109,0.00031109,0.00031109
59,1662.28,0.99365,0.71149,0.9085,0.96638,0.93075,0.96973,0.65955,1.12004,0.66841,0.96358,0.000304021,0.000304021,0.000304021
60,1694.96,1.02985,0.71636,0.90888,0.95084,0.94064,0.97028,0.67192,1.10113,0.66085,0.95862,0.000296953,0.000296953,0.000296953
61,1725.27,0.99343,0.70627,0.9102,0.95535,0.93142,0.97227,0.67906,1.08974,0.66626,0.95298,0.000289884,0.000289884,0.000289884
62,1764.26,0.97415,0.69544,0.89378,0.94949,0.92033,0.97107,0.6698,1.10521,0.67739,0.95633,0.000282815,0.000282815,0.000282815
63,1797.56,0.98071,0.66886,0.91064,0.94944,0.92504,0.96971,0.66064,1.12313,0.67957,0.96331,0.000275747,0.000275747,0.000275747
64,1827.68,0.98354,0.71836,0.91047,0.97177,0.92076,0.97141,0.66615,1.09741,0.67612,0.95661,0.000268678,0.000268678,0.000268678
65,1863.62,0.99224,0.69437,0.90375,0.96214,0.93751,0.96948,0.66393,1.10172,0.67874,0.95677,0.00026161,0.00026161,0.00026161
66,1904.25,0.9824,0.69601,0.90302,0.96376,0.94316,0.97173,0.66038,1.10389,0.6702,0.95672,0.000254541,0.000254541,0.000254541
67,1933.57,1.01036,0.70781,0.90816,0.95242,0.95384,0.9732,0.67532,1.09088,0.66379,0.95418,0.000247472,0.000247472,0.000247472
68,1961.45,0.96062,0.67956,0.89661,0.9673,0.94176,0.97166,0.67263,1.09767,0.66578,0.95416,0.000240404,0.000240404,0.000240404
69,1991.09,0.99628,0.68228,0.90101,0.96171,0.93254,0.96955,0.65822,1.12998,0.67739,0.96285,0.000233335,0.000233335,0.000233335
70,2023.63,0.96553,0.6819,0.91752,0.95433,0.91641,0.97013,0.65993,1.11952,0.70718,0.95963,0.000226267,0.000226267,0.000226267
71,2054.35,0.97652,0.70325,0.90843,0.9495,0.91608,0.97015,0.65099,1.14747,0.71388,0.96833,0.000219198,0.000219198,0.000219198
72,2082.96,0.97309,0.69563,0.89294,0.95778,0.92923,0.97052,0.66322,1.11657,0.68437,0.95971,0.000212129,0.000212129,0.000212129
73,2111.6,0.93852,0.66728,0.89898,0.96827,0.93519,0.97116,0.66202,1.10949,0.67631,0.95916,0.000205061,0.000205061,0.000205061
74,2149.17,0.98022,0.6793,0.9015,0.96782,0.94046,0.97177,0.65528,1.13252,0.66694,0.96569,0.000197992,0.000197992,0.000197992
75,2207.79,0.97341,0.67904,0.90506,0.96848,0.92081,0.97158,0.66819,1.11013,0.66263,0.95769,0.000190924,0.000190924,0.000190924
76,2248.18,0.94802,0.6546,0.90351,0.9247,0.95903,0.97145,0.67954,1.09043,0.66416,0.95443,0.000183855,0.000183855,0.000183855
77,2287.24,0.94222,0.63483,0.89395,0.92213,0.95557,0.97156,0.67333,1.09343,0.66106,0.9572,0.000176786,0.000176786,0.000176786
78,2324.01,0.94684,0.64494,0.87771,0.93985,0.943,0.97176,0.67229,1.09561,0.65892,0.95809,0.000169718,0.000169718,0.000169718
79,2354.52,0.95218,0.6597,0.89056,0.95237,0.9472,0.97095,0.66314,1.12126,0.66121,0.96509,0.000162649,0.000162649,0.000162649
80,2385.83,0.94003,0.6536,0.87995,0.9592,0.95038,0.9702,0.66505,1.11635,0.65469,0.96437,0.000155581,0.000155581,0.000155581
81,2415.11,0.95009,0.6397,0.89414,0.94171,0.9551,0.97173,0.66553,1.11086,0.65432,0.96081,0.000148512,0.000148512,0.000148512
82,2447.62,0.94051,0.65018,0.88614,0.92706,0.96385,0.97093,0.654,1.13771,0.66793,0.96637,0.000141443,0.000141443,0.000141443
83,2474.69,0.96429,0.68764,0.8849,0.95495,0.92953,0.97156,0.65531,1.14,0.66248,0.96722,0.000134375,0.000134375,0.000134375
